12
   1    2    3
   1    3   10
   1    4    5
   1    5    5
   1    6   10
   1    7    9
   1    8   10
   1    9    6
   1   10    2
   1   11    2
   1   12    8
   2    3    2
   2    4    4
   2    5    4
   2    6   10
   2    7    5
   2    8    8
   2    9    8
   2   10    9
   2   11    9
   2   12   10
   3    4    3
   3    5    8
   3    6   10
   3    7    9
   3    8   10
   3    9    2
   3   10    7
   3   11    9
   3   12    8
   4    5    2
   4    6    2
   4    7    1
   4    8    7
   4    9    3
   4   10    4
   4   11    2
   4   12   10
   5    6    4
   5    7    5
   5    8    3
   5    9    2
   5   10    6
   5   11    8
   5   12    6
   6    7    8
   6    8    3
   6    9    2
   6   10    6
   6   11   10
   6   12    9
   7    8    8
   7    9    5
   7   10    8
   7   11    1
   7   12    9
   8    9    6
   8   10    2
   8   11    8
   8   12    4
   9   10    2
   9   11    6
   9   12    5
  10   11    5
  10   12   10
  11   12    5
