300 44850
1 2 430
1 3 29
1 4 318
1 5 156
1 6 84
1 7 281
1 8 63
1 9 510
1 10 260
1 11 259
1 12 465
1 13 257
1 14 249
1 15 372
1 16 487
1 17 98
1 18 352
1 19 155
1 20 402
1 21 181
1 22 414
1 23 374
1 24 74
1 25 421
1 26 94
1 27 488
1 28 204
1 29 479
1 30 130
1 31 333
1 32 334
1 33 155
1 34 407
1 35 230
1 36 117
1 37 363
1 38 351
1 39 493
1 40 123
1 41 173
1 42 65
1 43 216
1 44 504
1 45 400
1 46 70
1 47 479
1 48 542
1 49 344
1 50 305
1 51 273
1 52 115
1 53 345
1 54 520
1 55 247
1 56 156
1 57 151
1 58 408
1 59 450
1 60 85
1 61 207
1 62 111
1 63 429
1 64 368
1 65 340
1 66 214
1 67 198
1 68 89
1 69 184
1 70 468
1 71 73
1 72 97
1 73 487
1 74 427
1 75 567
1 76 172
1 77 469
1 78 87
1 79 242
1 80 207
1 81 236
1 82 439
1 83 417
1 84 442
1 85 439
1 86 489
1 87 252
1 88 371
1 89 178
1 90 401
1 91 115
1 92 520
1 93 356
1 94 215
1 95 78
1 96 114
1 97 72
1 98 376
1 99 361
1 100 112
1 101 305
1 102 513
1 103 559
1 104 221
1 105 460
1 106 255
1 107 122
1 108 336
1 109 385
1 110 268
1 111 559
1 112 348
1 113 480
1 114 433
1 115 429
1 116 515
1 117 342
1 118 88
1 119 310
1 120 362
1 121 127
1 122 417
1 123 472
1 124 388
1 125 464
1 126 330
1 127 57
1 128 378
1 129 270
1 130 40
1 131 230
1 132 259
1 133 295
1 134 420
1 135 471
1 136 426
1 137 560
1 138 516
1 139 458
1 140 282
1 141 415
1 142 428
1 143 293
1 144 393
1 145 168
1 146 190
1 147 423
1 148 119
1 149 280
1 150 437
1 151 120
1 152 252
1 153 115
1 154 282
1 155 620
1 156 94
1 157 470
1 158 184
1 159 539
1 160 460
1 161 287
1 162 367
1 163 67
1 164 464
1 165 495
1 166 350
1 167 96
1 168 359
1 169 244
1 170 85
1 171 406
1 172 569
1 173 461
1 174 406
1 175 441
1 176 62
1 177 450
1 178 421
1 179 205
1 180 165
1 181 373
1 182 384
1 183 290
1 184 548
1 185 494
1 186 339
1 187 326
1 188 288
1 189 527
1 190 242
1 191 284
1 192 427
1 193 161
1 194 142
1 195 330
1 196 330
1 197 52
1 198 241
1 199 308
1 200 428
1 201 197
1 202 476
1 203 109
1 204 194
1 205 455
1 206 360
1 207 106
1 208 523
1 209 504
1 210 175
1 211 295
1 212 358
1 213 209
1 214 99
1 215 78
1 216 207
1 217 376
1 218 410
1 219 511
1 220 90
1 221 293
1 222 496
1 223 226
1 224 531
1 225 298
1 226 399
1 227 280
1 228 214
1 229 108
1 230 109
1 231 233
1 232 212
1 233 244
1 234 400
1 235 222
1 236 128
1 237 184
1 238 423
1 239 648
1 240 87
1 241 245
1 242 396
1 243 449
1 244 563
1 245 377
1 246 87
1 247 479
1 248 198
1 249 119
1 250 317
1 251 21
1 252 433
1 253 388
1 254 533
1 255 266
1 256 113
1 257 329
1 258 74
1 259 183
1 260 332
1 261 495
1 262 419
1 263 148
1 264 582
1 265 375
1 266 41
1 267 78
1 268 50
1 269 90
1 270 466
1 271 538
1 272 350
1 273 303
1 274 208
1 275 77
1 276 256
1 277 273
1 278 105
1 279 295
1 280 358
1 281 156
1 282 128
1 283 120
1 284 55
1 285 30
1 286 320
1 287 191
1 288 393
1 289 124
1 290 27
1 291 20
1 292 460
1 293 370
1 294 95
1 295 609
1 296 188
1 297 247
1 298 70
1 299 347
1 300 96
2 3 412
2 4 366
2 5 448
2 6 357
2 7 419
2 8 456
2 9 87
2 10 174
2 11 212
2 12 127
2 13 184
2 14 235
2 15 364
2 16 58
2 17 433
2 18 78
2 19 323
2 20 332
2 21 351
2 22 386
2 23 507
2 24 448
2 25 13
2 26 472
2 27 122
2 28 260
2 29 124
2 30 413
2 31 166
2 32 141
2 33 287
2 34 416
2 35 469
2 36 543
2 37 312
2 38 450
2 39 189
2 40 323
2 41 303
2 42 376
2 43 214
2 44 85
2 45 278
2 46 360
2 47 243
2 48 158
2 49 293
2 50 161
2 51 237
2 52 324
2 53 585
2 54 315
2 55 185
2 56 451
2 57 279
2 58 368
2 59 198
2 60 398
2 61 229
2 62 530
2 63 32
2 64 164
2 65 113
2 66 315
2 67 303
2 68 451
2 69 520
2 70 94
2 71 499
2 72 367
2 73 324
2 74 103
2 75 271
2 76 272
2 77 148
2 78 375
2 79 245
2 80 224
2 81 221
2 82 291
2 83 392
2 84 279
2 85 136
2 86 182
2 87 202
2 88 74
2 89 338
2 90 30
2 91 518
2 92 160
2 93 92
2 94 217
2 95 487
2 96 394
2 97 410
2 98 508
2 99 449
2 100 360
2 101 145
2 102 165
2 103 187
2 104 210
2 105 237
2 106 176
2 107 523
2 108 101
2 109 384
2 110 166
2 111 311
2 112 84
2 113 145
2 114 287
2 115 138
2 116 309
2 117 419
2 118 414
2 119 127
2 120 90
2 121 375
2 122 365
2 123 360
2 124 176
2 125 255
2 126 399
2 127 466
2 128 312
2 129 213
2 130 470
2 131 400
2 132 173
2 133 136
2 134 291
2 135 147
2 136 332
2 137 286
2 138 214
2 139 382
2 140 176
2 141 60
2 142 259
2 143 217
2 144 138
2 145 403
2 146 267
