300 44850
1 2 408
1 3 475
1 4 323
1 5 405
1 6 402
1 7 312
1 8 289
1 9 322
1 10 341
1 11 676
1 12 435
1 13 481
1 14 464
1 15 222
1 16 306
1 17 373
1 18 197
1 19 248
1 20 491
1 21 370
1 22 676
1 23 271
1 24 448
1 25 474
1 26 315
1 27 28
1 28 311
1 29 633
1 30 178
1 31 580
1 32 420
1 33 486
1 34 405
1 35 441
1 36 413
1 37 450
1 38 405
1 39 224
1 40 301
1 41 353
1 42 101
1 43 282
1 44 341
1 45 166
1 46 315
1 47 695
1 48 436
1 49 464
1 50 473
1 51 583
1 52 298
1 53 185
1 54 658
1 55 434
1 56 490
1 57 136
1 58 368
1 59 240
1 60 272
1 61 455
1 62 199
1 63 385
1 64 456
1 65 381
1 66 359
1 67 176
1 68 393
1 69 227
1 70 533
1 71 302
1 72 255
1 73 646
1 74 611
1 75 496
1 76 422
1 77 604
1 78 155
1 79 507
1 80 262
1 81 211
1 82 641
1 83 410
1 84 458
1 85 148
1 86 512
1 87 523
1 88 604
1 89 280
1 90 535
1 91 544
1 92 531
1 93 304
1 94 417
1 95 390
1 96 176
1 97 490
1 98 319
1 99 451
1 100 329
1 101 279
1 102 658
1 103 527
1 104 508
1 105 478
1 106 587
1 107 543
1 108 414
1 109 84
1 110 311
1 111 487
1 112 514
1 113 268
1 114 117
1 115 535
1 116 491
1 117 714
1 118 139
1 119 187
1 120 374
1 121 623
1 122 191
1 123 311
1 124 202
1 125 150
1 126 563
1 127 70
1 128 502
1 129 570
1 130 19
1 131 389
1 132 364
1 133 205
1 134 517
1 135 98
1 136 545
1 137 377
1 138 227
1 139 327
1 140 223
1 141 492
1 142 417
1 143 366
1 144 574
1 145 501
1 146 178
1 147 585
1 148 526
1 149 509
1 150 229
1 151 383
1 152 445
1 153 541
1 154 506
1 155 667
1 156 601
1 157 634
1 158 184
1 159 625
1 160 106
1 161 282
1 162 571
1 163 427
1 164 515
1 165 457
1 166 314
1 167 216
1 168 171
1 169 93
1 170 223
1 171 442
1 172 281
1 173 44
1 174 183
1 175 281
1 176 543
1 177 404
1 178 643
1 179 639
1 180 414
1 181 479
1 182 576
1 183 340
1 184 117
1 185 64
1 186 449
1 187 376
1 188 264
1 189 234
1 190 368
1 191 463
1 192 374
1 193 372
1 194 586
1 195 264
1 196 454
1 197 237
1 198 640
1 199 423
1 200 482
1 201 225
1 202 265
1 203 648
1 204 357
1 205 233
1 206 308
1 207 78
1 208 321
1 209 403
1 210 423
1 211 206
1 212 476
1 213 469
1 214 380
1 215 528
1 216 641
1 217 492
1 218 487
